अनुदान दिएको कार्यक्रम,अनुदान गएको वर्ष,अनुदान रकम
जाटविलकोट नगरपालिका वडा नं.१ मा आलु चिप्स उधोग,२०७५।७६ र २०७६।७७,४९४५०००
व्रिवेणी भ।उँपालिका वडा नं.३ मा कोल्ड«८।र निर्माण तथा उपकरण खरिद,२०७६।७७ देखि २०७९।८०,१७६६५४०३
चोरजहारी नगरपालिका ३ वडामा कोल्डध्टोर निर्माण,२०७८।७९ देखि २०८०।८१,१४७०००००
जम्मा,,३७३१०४०३
